# target name        accession  query name              accession  hmmfrom hmm to    alifrom     ali to    envfrom     env to     sq len strand   E-value  score  bias  description of target
#------------------- ----------    -------------------- ---------- ------- -------    -------    -------    -------    -------    ------- ------ --------- ------ ----- ---------------------
OY728131.1           -          fajkus_dtol_250_aligned -                7     186  923835735  923835934  923835729  923835943 2108664250    +     0.00051   33.7   3.6  Viscum album genome assembly, chromosome: 3_2
OY728147.1           -          fajkus_dtol_250_aligned -               14     134   86926754   86926632   86926774   86926597 2144314009    -        0.11   26.0   3.9  Viscum album genome assembly, chromosome: 6_3
OY728123.1           -          fajkus_dtol_250_aligned -              125     190 1441635885 1441635801 1441635894 1441635786 2142779784    -        0.24   24.9   2.5  Viscum album genome assembly, chromosome: 1_5
OY728156.1           -          fajkus_dtol_250_aligned -               16     102  745504945  745504870  745504957  745504849 2145201137    -        0.32   24.5   0.0  Viscum album genome assembly, chromosome: 8_2
OY728119.1           -          fajkus_dtol_250_aligned -                8     186  616599465  616599276  616599472  616599268 2143528264    -        0.35   24.4   6.9  Viscum album genome assembly, chromosome: 1_1
OY728164.1           -          fajkus_dtol_250_aligned -                6     137 1921153395 1921153253 1921153402 1921153230 2119186544    -        0.35   24.4   4.5  Viscum album genome assembly, chromosome: 10_2
OY728128.1           -          fajkus_dtol_250_aligned -                6     174  958183275  958183474  958183270  958183479 2141806609    +        0.38   24.2   4.0  Viscum album genome assembly, chromosome: 2_4
OY728130.1           -          fajkus_dtol_250_aligned -                6     186 2093172931 2093172731 2093172936 2093172721 2134931027    -        0.41   24.2   5.4  Viscum album genome assembly, chromosome: 3_1
OY728127.1           -          fajkus_dtol_250_aligned -                6     134 1142611435 1142611257 1142611440 1142611237 2133121580    -        0.71   23.4   4.4  Viscum album genome assembly, chromosome: 2_3
OY728160.1           -          fajkus_dtol_250_aligned -                6     185  588191956  588191746  588191961  588191736 2114166385    -        0.72   23.3   6.2  Viscum album genome assembly, chromosome: 9_2
OY728155.1           -          fajkus_dtol_250_aligned -                6     157  507865742  507865548  507865747  507865539 2134142781    -        0.79   23.2   1.7  Viscum album genome assembly, chromosome: 8_1
OY728131.1           -          fajkus_dtol_250_aligned -                6     186  271629227  271629024  271629232  271629017 2108664250    -        0.87   23.1   4.0  Viscum album genome assembly, chromosome: 3_2
OY728147.1           -          fajkus_dtol_250_aligned -                3     130  613597463  613597309  613597466  613597289 2144314009    -        0.95   22.9   2.3  Viscum album genome assembly, chromosome: 6_3
OY728153.1           -          fajkus_dtol_250_aligned -               13     142  609957279  609957431  609957264  609957451 2100933269    +           1   22.8   4.4  Viscum album genome assembly, chromosome: 7_4
OY728123.1           -          fajkus_dtol_250_aligned -                6     173 2029863043 2029863240 2029863039 2029863246 2142779784    +         1.1   22.8   6.1  Viscum album genome assembly, chromosome: 1_5
